Name;Pago;Despacho;Moneda;Subtotal;Precio despacho;Total;Desc monto;Shipping Method;Cantidad;Producto;Precio oferta;Precio normal;SKU;status despacho;Ciudad;Codigo postal;Region
#43322;Pagado;Sin despacho;CLP;19990;3990;23980;0;Despacho Region Metropolitana;1;Zapatilla Brisbane Negro Premium - Negro / 37;19990;49990;1003202037;pending;MaipÃº;'112654356;RM
#43321;Pagado;Despachado;CLP;15992;0;15992;3998;Retiro en tienda;1;Zapatilla Brisbane Negro Premium - Negro / 37;19990;49990;1003202037;fulfilled;Condes;CONDES;RM
#43320;Pagado;Despachado;CLP;19990;3990;23980;0;Despacho Region Metropolitana;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;44990;1838072037;fulfilled;Hhcx;VCBK;RM
#43319;Pagado;Sin despacho;CLP;19990;8290;28280;0;Despacho Region;1;Zapatilla Chester Blanco Premium - Blanco / 40;19990;49990;1000071040;pending;Pichilemu;PICHILEMU;LI
#43318;Pagado;Despachado;CLP;29990;0;29990;0;Retiro en tienda;1;Zapatilla Angelica Negro Premium - Negro / 38;29990;;0100072038;fulfilled;Condes;CONFES;RM
#43317;Pagado;Despachado;CLP;19990;3990;23980;0;Despacho Region Metropolitana;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;44990;1838072038;fulfilled;Villa alemana ;VILLAALEMANA;VS
#43316;Pagado;Sin despacho;CLP;9990;8290;18280;0;Despacho Region;1;Mochila Maura  Premium - Nude / TamaÃ±o Ã_nico;9990;39990;6146075900;pending;Coronel;CONCEPCIÃ“N;BI
#43315;Pagado;Despachado;CLP;19990;3990;23980;0;Despacho Region Metropolitana;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;44990;1838072038;fulfilled;Santiago centro;SANTIAGOCENTRO;RM
#43314;Pagado;Despachado;CLP;20980;3990;24970;0;Despacho Region Metropolitana;1;Calcetin   Premium - Negro / TamaÃ±o Ã_nico;990;3990;0008502000;fulfilled;Las Condes;;RM
#43314;;;;;;;;;1;Botin Atenas Negro Premium - Negro / 35;19990;49990;0037072035;fulfilled;;;
#43313;Pagado;Despachado;CLP;19980;0;19980;0;Retiro en tienda;1;Botin Grecia Amarillo Premium - Amarillo / 37;9990;39990;0318078337;fulfilled;Vitacura;SANTIAGO;RM
#43313;;;;;;;;;1;Botin Grecia Negro Premium - Negro / 37;9990;39990;0318072037;fulfilled;;;
#43312;Pagado;Despachado;CLP;20980;3990;24970;0;Despacho Region Metropolitana;1;Calcetin   Premium - Multicolor / TamaÃ±o Ã_nico;990;4990;0005503500;fulfilled;Santiago;SANTIAGO;RM
#43312;;;;;;;;;1;Bootie  Dallas  Premium - Negro / 38;19990;39990;8802072038;fulfilled;;;
#43311;Pagado;Despachado;CLP;15992;8290;24282;3998;Despacho Region;1;Zapatilla Brisbane Negro Premium - Negro / 38;19990;49990;1003202038;fulfilled;Chillan viejo;CHILLAN;NB
#43310;Pagado;Despachado;CLP;15992;0;15992;3998;Retiro en tienda;1;Zapatilla Brisbane Negro Premium - Negro / 39;19990;49990;1003202039;fulfilled;Condes;CONDES;RM
#43309;Pagado;Despachado;CLP;19990;8290;28280;0;Despacho Region;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;44990;1838072037;fulfilled;Villa alemana ;VILLAAALEMANA;VS
#43308;Pagado;Despachado;CLP;19990;8290;28280;0;Despacho Region;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;44990;1838072038;fulfilled;Villa alsmana ;VILLAALEMANA;VS
#43307;Pagado;Sin despacho;CLP;74970;9990;84960;0;Despacho Region Metropolitana;1;BotÃ_n Texa Dorado Police - Dorado / 38;24990;;79-38;pending;Providencia ;SANTIAGO;RM
#43307;;;;;;;;;1;Zapato Florencoia Burdeo Premium - Burdeo / 39;19990;49990;0020008539;pending;;;
#43307;;;;;;;;;1;Zapato Negro Delux - Negro / 38;29990;43990;162-38;pending;;;
